Zip,Population
11368,"112,088"
11385,"107,796"
11211,"103,123"
11208,"101,313"
10467,"101,255"
11236,"100,844"
11226,"99,558"
11373,"94,437"
11234,"93,534"
11220,"93,170"
10456,"92,717"
11214,"92,644"
10025,"92,251"
11207,"91,083"
10314,"89,792"
11219,"89,371"
11206,"88,422"
11230,"86,139"
10458,"85,620"
11377,"83,825"
11221,"83,322"
11229,"83,119"
10453,"81,716"
11223,"81,388"
11355,"80,987"
11233,"79,439"
10468,"78,881"
11235,"78,775"
10029,"76,713"
11204,"76,395"
11203,"76,085"
10462,"75,714"
11212,"75,605"
10452,"75,452"
10466,"75,039"
10457,"74,822"
10002,"74,479"
11375,"73,034"
11218,"72,413"
10469,"72,384"
10463,"71,132"
11215,"69,873"
11691,"68,543"
11706,"68,401"
10472,"67,948"
11746,"67,863"
11209,"67,782"
11213,"67,056"
10977,"66,138"
10027,"64,988"
11210,"64,665"
11434,"64,304"
11432,"64,299"
14850,"64,221"
11717,"63,492"
11201,"63,378"
10032,"63,214"
11372,"62,854"
10023,"62,541"
10701,"61,604"
10312,"61,392"
11435,"59,605"
10031,"59,586"
10473,"59,579"
10460,"59,432"
10128,"58,636"
10033,"58,349"
10009,"58,293"
10024,"58,102"
11216,"57,786"
11550,"57,639"
11225,"56,859"
11238,"55,210"
12550,"55,149"
10003,"53,977"
14221,"53,948"
10306,"53,877"
11354,"53,684"
12180,"53,464"
10016,"52,886"
11758,"52,783"
14580,"52,585"
10950,"50,979"
10011,"49,949"
10461,"49,690"
14094,"49,257"
11237,"48,876"
10459,"48,780"
11419,"48,369"
10451,"48,136"
10940,"48,021"
11420,"47,470"
11590,"47,245"
11205,"46,843"
10028,"46,768"
11772,"45,991"
11224,"45,795"
10019,"45,498"
10040,"44,800"
11365,"44,738"
11003,"44,572"
11757,"44,368"
11228,"44,348"
10021,"44,280"
14120,"44,119"
10465,"43,671"
11374,"43,507"
11756,"43,446"
11520,"43,438"
11580,"42,990"
10475,"42,818"
14075,"42,780"
10305,"42,726"
12065,"42,701"
12603,"42,540"
10034,"42,399"
13760,"42,372"
10952,"42,063"
10455,"41,951"
11743,"41,878"
11217,"41,813"
11413,"41,650"
11040,"41,592"
14450,"41,546"
14215,"41,435"
12601,"41,392"
10801,"41,370"
11421,"41,251"
11367,"41,207"
14609,"41,168"
10304,"41,112"
13440,"41,014"
10583,"40,851"
14150,"40,850"
14224,"40,815"
11801,"40,288"
11704,"39,981"
10705,"39,944"
12866,"39,689"
11357,"39,407"
14701,"39,214"
10573,"38,816"
10026,"38,585"
11378,"38,524"
11418,"38,405"
10301,"38,280"
11554,"38,029"
11379,"37,991"
11231,"37,874"
11412,"37,857"
13021,"37,841"
11779,"37,837"
11561,"37,726"
11106,"37,690"
13601,"37,548"
10550,"37,429"
10454,"37,212"
11433,"37,021"
11105,"36,983"
13501,"36,920"
11222,"36,872"
14624,"36,570"
11358,"36,515"
11364,"36,215"
10035,"36,048"
11103,"35,995"
10010,"35,906"
13126,"35,833"
12401,"35,192"
12590,"34,910"
11710,"34,634"
11787,"34,376"
14612,"34,116"
10309,"34,058"
11735,"33,893"
12020,"33,563"
11566,"33,331"
13502,"33,314"
12901,"33,312"
11510,"33,299"
14225,"33,091"
14621,"33,066"
13027,"33,049"
11422,"32,761"
14086,"32,585"
10956,"32,289"
11722,"31,878"
10704,"31,683"
10562,"31,636"
14534,"31,615"
11370,"31,580"
11369,"31,481"
11101,"31,366"
11417,"31,321"
10022,"31,130"
10030,"31,060"
14226,"30,644"
11793,"30,643"
11731,"30,436"
11050,"30,357"
10014,"30,344"
14626,"30,292"
14127,"30,191"
11423,"30,104"
12203,"30,010"
12309,"30,007"
13090,"29,869"
11102,"29,747"
11727,"29,736"
10065,"29,530"
10308,"29,512"
11725,"29,396"
10598,"29,320"
14304,"29,262"
11572,"29,243"
13045,"28,916"
10013,"28,799"
11763,"28,579"
11803,"28,520"
12303,"28,488"
10036,"28,487"
11530,"28,460"
11720,"28,454"
11901,"28,387"
11701,"28,363"
11414,"28,313"
14606,"28,296"
12010,"28,152"
11001,"28,021"
13210,"27,916"
11542,"27,893"
14424,"27,880"
11429,"27,454"
10303,"27,401"
12302,"27,377"
11729,"27,252"
11570,"27,234"
11361,"27,201"
14616,"26,948"
12205,"26,941"
12306,"26,799"
11416,"26,744"
12553,"26,674"
11741,"26,651"
11232,"26,430"
10541,"26,321"
12804,"26,187"
11791,"26,135"
11553,"26,054"
14623,"25,893"
13905,"25,890"
12533,"25,426"
11784,"25,337"
10710,"25,262"
11104,"25,114"
11776,"24,950"
11552,"24,908"
11795,"24,775"
11010,"24,752"
10512,"24,672"
11427,"24,560"
14043,"24,538"
13069,"24,166"
10001,"24,117"
10566,"24,010"
14620,"23,835"
10310,"23,800"
11356,"23,494"
12078,"23,419"
10012,"23,318"
10038,"23,311"
14207,"23,275"
14213,"23,113"
10591,"23,044"
10901,"23,039"
14217,"22,975"
10954,"22,931"
13208,"22,833"
14617,"22,774"
11714,"22,741"
14020,"22,707"
14220,"22,623"
14618,"22,597"
14211,"22,495"
10471,"22,422"
11762,"22,358"
13850,"22,351"
14216,"22,289"
10075,"22,252"
12304,"22,230"
14223,"22,225"
10703,"22,148"
11692,"22,074"
13820,"22,070"
11563,"21,919"
13088,"21,917"
14228,"21,839"
11581,"21,794"
10708,"21,769"
12208,"21,666"
12110,"21,665"
14227,"21,497"
12047,"21,355"
11783,"21,280"
13212,"21,269"
11694,"21,202"
11768,"21,113"
14072,"21,047"
14420,"21,006"
10543,"20,951"
11411,"20,719"
11426,"20,524"
10567,"20,518"
10037,"20,462"
14206,"20,310"
14051,"20,219"
12144,"20,205"
10552,"20,202"
14845,"20,011"
14526,"19,973"
12508,"19,825"
11501,"19,621"
10509,"19,582"
14830,"19,521"
14214,"19,492"
11726,"19,481"
14456,"19,473"
13901,"19,230"
10605,"19,195"
11436,"19,167"
10805,"19,096"
11360,"18,954"
14218,"18,952"
14559,"18,930"
11415,"18,891"
11428,"18,836"
13204,"18,741"
12561,"18,713"
11030,"18,578"
11362,"18,343"
11747,"18,288"
13903,"18,258"
11021,"18,245"
12477,"18,060"
10302,"18,037"
12534,"18,007"
11738,"17,972"
13790,"17,964"
11754,"17,946"
14468,"17,913"
10603,"17,866"
14760,"17,640"
10580,"17,334"
11790,"17,304"
12189,"17,290"
13205,"17,212"
11575,"17,180"
13039,"17,028"
14615,"16,963"
14611,"16,962"
12054,"16,940"
12589,"16,882"
10606,"16,841"
14305,"16,767"
13206,"16,723"
14052,"16,672"
13676,"16,637"
11788,"16,583"
14607,"16,521"
12831,"16,517"
