,Zip,Unnamed: 0,Count,Population,Density per 100000 people,Neighborhood
0,11201,22474,22474,63378,35460.25,Brooklyn Heights/Cobble Hill
1,11203,15053,15053,76085,19784.45,East Flatbush
2,11204,7273,7273,76395,9520.26,Parkville/Bensonhurst
3,11205,22479,22479,46843,47987.96,Fort Greene
4,11206,33616,33616,88422,38017.69,Williamsburg/Bedford-Stuyvesant
5,11207,23378,23378,91083,25666.7,East New York
6,11208,21573,21573,101313,21293.42,Cypress Hills
7,11209,14221,14221,67782,20980.5,Bay Ridge
8,11210,10284,10284,64665,15903.5,Vanderveer/Flatbush
9,11211,33618,33618,103123,32599.9,Williamsburg
10,11212,17067,17067,75605,22573.9,Brownsville
11,11213,23060,23060,67056,34389.17,Brower Park/Crown Heights
12,11214,8815,8815,92644,9514.92,Bath Beach/Bensonhurst
13,11215,15813,15813,69873,22631.06,Park Slope/Windsor Terrace
14,11216,30518,30518,57786,52812.1,Bedford-Stuyvesant
15,11217,18904,18904,41813,45210.82,Park Slope/Gowanus
16,11218,12584,12584,72413,17378.1,Kensington/Windsor Terrace
17,11219,7065,7065,89371,7905.25,Borough Park
18,11220,17729,17729,93170,19028.66,Sunset Park
19,11221,33641,33641,83322,40374.69,Bushwick/Bedford-Stuyvesant
20,11222,15009,15009,36872,40705.68,Greenpoint
21,11223,9731,9731,81388,11956.31,Gravesend/Homecrest
22,11224,7704,7704,45795,16822.8,Coney Island
23,11225,26758,26758,56859,47060.27,Crown Heights
24,11226,42922,42922,99558,43112.56,Flatbush
25,11228,3416,3416,44348,7702.71,Dyker Heights
26,11229,10454,10454,83119,12577.15,Homecrest/Madison
27,11230,13829,13829,86139,16054.28,Midwood
28,11231,8780,8780,37874,23182.13,Carroll Gardens/Red Hook
29,11232,7907,7907,26430,29916.76,Industry City/Sunset Park
30,11233,19722,19722,79439,24826.6,Stuyvesant Heights
31,11234,12855,12855,93534,13743.67,Flatlands/Mill Basin
32,11235,12630,12630,78775,16033.01,Sheepshead Bay/Brighton Beach
33,11236,13106,13106,100844,12996.31,Canarsie
34,11237,29526,29526,48876,60410.02,Bushwick
35,11238,31782,31782,55210,57565.66,Prospect Heights
36,11239,829,829,12772,6490.76,Starrett City
