,Created Date,Neighborhood,Price
0,2010-01,Bath Beach,
1,2010-01,Bay Ridge,1350.0
2,2010-01,Bedford-Stuyvesant,1650.0
3,2010-01,Parkville/Bensonhurst,
4,2010-01,Bergen Beach,
5,2010-01,Boerum Hill,2600.0
6,2010-01,Borough Park,
7,2010-01,Brighton Beach,
8,2010-01,Brooklyn,2200.0
9,2010-01,Brooklyn Heights,2350.0
10,2010-01,Brownsville,
11,2010-01,Bushwick,1599.0
12,2010-01,Canarsie,
13,2010-01,Carroll Gardens,2275.0
14,2010-01,Clinton Hill,2085.0
15,2010-01,Cobble Hill,1900.0
16,2010-01,Columbia St Waterfront District,2000.0
17,2010-01,Coney Island,
18,2010-01,Parkville/Bensonhurst,2000.0
19,2010-01,DUMBO,3275.0
20,2010-01,Ditmas Park,1600.0
21,2010-01,Downtown Brooklyn,2247.0
22,2010-01,Dyker Heights,
23,2010-01,East Brooklyn,1700.0
24,2010-01,East Flatbush,2000.0
25,2010-01,East New York,
26,2010-01,Vanderveer/Flatbush,
27,2010-01,Flatlands,
28,2010-01,Fort Greene,2470.0
29,2010-01,Gowanus,
30,2010-01,Gravesend/Homecrest,
31,2010-01,Greenpoint,2300.0
32,2010-01,Greenwood,1775.0
33,2010-01,Kensington,1800.0
34,2010-01,Manhattan Beach,
35,2010-01,Marine Park,
36,2010-01,Midwood,1825.0
37,2010-01,Mill Basin,
38,2010-01,North Brooklyn,2500.0
39,2010-01,Northwest Brooklyn,2300.0
40,2010-01,Park Slope,2200.0
41,2010-01,Prospect Heights,2150.0
42,2010-01,Prospect Lefferts Gardens,1795.0
43,2010-01,Prospect Park,2100.0
44,2010-01,Prospect Park South,
45,2010-01,Red Hook,2000.0
46,2010-01,Sheepshead Bay,1400.0
47,2010-01,South Brooklyn,1595.0
48,2010-01,Industry City/Sunset Park,1500.0
49,2010-01,Williamsburg,2500.0
50,2010-01,Windsor Terrace,1600.0
51,2010-01,Brooklyn Heights/Cobble Hill,2125.0
52,2010-01,Williamsburg/Bedford-Stuyvesant,2075.0
53,2010-01,Bath Beach/Bensonhurst,
54,2010-01,Kensington/Windsor Terrace,1700.0
55,2010-01,Carroll Gardens/Red Hook,2137.5
56,2010-01,Sheepshead Bay/Brighton Beach,1400.0
57,2010-01,Park Slope/Windsor Terrace,1900.0
58,2010-01,Park Slope/Gowanus,2200.0
59,2010-01,Bushwick/Bedford-Stuyvesant,1624.5
60,2010-01,Flatlands/Mill Basin,
61,2010-02,Bath Beach,
62,2010-02,Bay Ridge,1388.0
63,2010-02,Bedford-Stuyvesant,1650.0
64,2010-02,Parkville/Bensonhurst,
65,2010-02,Bergen Beach,
66,2010-02,Boerum Hill,2700.0
67,2010-02,Borough Park,
68,2010-02,Brighton Beach,
69,2010-02,Brooklyn,2150.0
70,2010-02,Brooklyn Heights,2300.0
71,2010-02,Brownsville,
72,2010-02,Bushwick,1475.0
73,2010-02,Canarsie,
74,2010-02,Carroll Gardens,2225.0
75,2010-02,Clinton Hill,1950.0
76,2010-02,Cobble Hill,2350.0
77,2010-02,Columbia St Waterfront District,1950.0
78,2010-02,Coney Island,
79,2010-02,Parkville/Bensonhurst,2125.0
80,2010-02,DUMBO,3200.0
81,2010-02,Ditmas Park,1850.0
82,2010-02,Downtown Brooklyn,2227.0
83,2010-02,Dyker Heights,
84,2010-02,East Brooklyn,1750.0
85,2010-02,East Flatbush,1700.0
86,2010-02,East New York,
87,2010-02,Vanderveer/Flatbush,1600.0
88,2010-02,Flatlands,
89,2010-02,Fort Greene,2200.0
90,2010-02,Gowanus,1600.0
91,2010-02,Gravesend/Homecrest,1519.0
92,2010-02,Greenpoint,2225.0
93,2010-02,Greenwood,1750.0
94,2010-02,Kensington,1775.0
95,2010-02,Manhattan Beach,
96,2010-02,Marine Park,
97,2010-02,Midwood,1850.0
98,2010-02,Mill Basin,
99,2010-02,North Brooklyn,2475.0
100,2010-02,Northwest Brooklyn,2300.0
101,2010-02,Park Slope,2150.0
102,2010-02,Prospect Heights,2150.0
103,2010-02,Prospect Lefferts Gardens,1763.33
104,2010-02,Prospect Park,2100.0
105,2010-02,Prospect Park South,
106,2010-02,Red Hook,2025.0
107,2010-02,Sheepshead Bay,1225.0
108,2010-02,South Brooklyn,1550.0
109,2010-02,Industry City/Sunset Park,1500.0
110,2010-02,Williamsburg,2500.0
111,2010-02,Windsor Terrace,1650.0
112,2010-02,Brooklyn Heights/Cobble Hill,2325.0
113,2010-02,Williamsburg/Bedford-Stuyvesant,2075.0
114,2010-02,Bath Beach/Bensonhurst,
115,2010-02,Kensington/Windsor Terrace,1712.5
116,2010-02,Carroll Gardens/Red Hook,2225.0
117,2010-02,Sheepshead Bay/Brighton Beach,1225.0
118,2010-02,Park Slope/Windsor Terrace,1900.0
119,2010-02,Park Slope/Gowanus,1875.0
120,2010-02,Bushwick/Bedford-Stuyvesant,1562.5
121,2010-02,Flatlands/Mill Basin,
122,2010-03,Bath Beach,
123,2010-03,Bay Ridge,1350.0
124,2010-03,Bedford-Stuyvesant,1600.0
125,2010-03,Parkville/Bensonhurst,
126,2010-03,Bergen Beach,
127,2010-03,Boerum Hill,2600.0
128,2010-03,Borough Park,
129,2010-03,Brighton Beach,
130,2010-03,Brooklyn,2150.0
131,2010-03,Brooklyn Heights,2400.0
132,2010-03,Brownsville,
133,2010-03,Bushwick,1500.0
134,2010-03,Canarsie,
135,2010-03,Carroll Gardens,2275.0
136,2010-03,Clinton Hill,1975.0
137,2010-03,Cobble Hill,2225.0
138,2010-03,Columbia St Waterfront District,2150.0
139,2010-03,Coney Island,
140,2010-03,Parkville/Bensonhurst,2150.0
141,2010-03,DUMBO,2800.0
142,2010-03,Ditmas Park,1850.0
143,2010-03,Downtown Brooklyn,2191.0
144,2010-03,Dyker Heights,
145,2010-03,East Brooklyn,1650.0
146,2010-03,East Flatbush,2100.0
147,2010-03,East New York,
148,2010-03,Vanderveer/Flatbush,1597.5
149,2010-03,Flatlands,
150,2010-03,Fort Greene,2200.0
151,2010-03,Gowanus,1666.67
152,2010-03,Gravesend/Homecrest,1400.0
153,2010-03,Greenpoint,2350.0
154,2010-03,Greenwood,1700.0
155,2010-03,Kensington,1775.0
156,2010-03,Manhattan Beach,
157,2010-03,Marine Park,
158,2010-03,Midwood,1675.0
159,2010-03,Mill Basin,
160,2010-03,North Brooklyn,2484.0
161,2010-03,Northwest Brooklyn,2290.0
162,2010-03,Park Slope,2200.0
163,2010-03,Prospect Heights,2000.0
164,2010-03,Prospect Lefferts Gardens,1731.67
165,2010-03,Prospect Park,2100.0
166,2010-03,Prospect Park South,
167,2010-03,Red Hook,2050.0
168,2010-03,Sheepshead Bay,1200.0
